"id","hs_dip","ethnicity","age","gender","clubmemb","residency","oc","founda","visitlib","med","per","fin","ft_pt","attendance","week4_test","first_sem","attend_disc","first_sem_disc","week4_test_disc","age_disc","startweek","endweek","drops"
1,4,"3",35,"1",2,"3","yes","no",0,0,0,0,"ft",0.932341232530193,0.467753846608917,0.581096973577574,"good","pass","fail","geny",1,156,0
2,5,"2",19,"1",1,"1","no","yes",4,1,1,0,"ft",0.0176171934099549,0.519687861875631,0.192938631140924,"poor","fail","pass","genz",1,40,1
3,4,"5",26,"2",0,"3","yes","no",0,0,0,0,"ft",0.687917085764431,0.45164074472735,0.413172533801966,"ok","fail","fail","millenn",1,156,0
4,5,"1",23,"1",2,"1","no","yes",7,0,0,0,"ft",0.565441108902177,0.76277585251556,0.278909461610426,"ok","fail","dist","millenn",1,13,1
5,3,"1",30,"2",0,"1","no","no",2,0,0,0,"ft",0.855949348098814,0.566977661489608,0.384380708508234,"good","fail","pass","millenn",1,156,0
6,2,"2",39,"2",0,"1","no","no",2,0,0,0,"pt",0.977899862939639,0.676310410252516,0.850038210430969,"good","dist","pass","geny",1,156,0
7,3,"1",25,"4",0,"2","yes","no",2,0,0,0,"ft",0.950159759375557,0.558957833119672,0.334640413470778,"good","fail","pass","millenn",1,156,0
8,3,"1",28,"1",3,"3","no","no",4,0,0,0,"ft",0.840354777527319,0.558923084967661,0.288190848937219,"good","fail","pass","millenn",1,156,0
9,4,"1",34,"3",2,"3","yes","no",6,0,0,0,"ft",0.98506897251803,0.739129597219776,0.595048889104621,"good","pass","pass","millenn",1,150,1
10,1,"5",23,"2",0,"1","no","no",0,0,0,0,"pt",0.558359529903026,0.40061303879598,0.483597862821261,"ok","fail","fail","millenn",1,156,0
11,2,"1",30,"1",2,"1","no","no",3,0,0,0,"pt",0.865462288106825,0.739848763882558,0.958005675900221,"good","dist","pass","millenn",1,156,0
12,2,"1",28,"1",0,"1","no","no",4,0,0,0,"pt",0.882640992710271,0.780505182867156,0.357625815790697,"good","fail","dist","millenn",1,156,0
13,4,"2",27,"1",1,"1","no","yes",4,0,0,0,"pt",0.995140295560493,0.744272330828815,0.459769385229314,"good","fail","pass","millenn",1,40,1
14,2,"1",24,"2",0,"1","no","no",2,0,0,0,"pt",0.971756481660664,0.502955429159661,0.712652245166758,"good","pass","pass","millenn",1,156,0
15,3,"2",37,"1",3,"1","no","no",4,0,0,0,"pt",0.992831507551752,0.759179418964804,0.813346736016914,"good","dist","dist","geny",1,156,0
16,3,"1",21,"1",2,"3","yes","no",0,0,0,0,"ft",0.889659090808267,0.446230765742384,0.368883307271333,"good","fail","fail","millenn",1,109,1
17,3,"3",30,"2",3,"1","no","no",0,0,0,0,"pt",0.985671570504291,0.526085454498099,0.794070024363913,"good","dist","pass","millenn",1,156,0
18,3,"1",26,"2",1,"3","yes","no",0,0,0,0,"ft",0.997804711709393,0.512512158210868,0.711437377673699,"good","pass","pass","millenn",1,156,0
19,2,"4",28,"1",2,"1","no","no",3,0,0,0,"pt",0.723104604909747,0.651128392335228,0.727422335457842,"ok","pass","pass","millenn",1,156,0
20,1,"1",21,"1",2,"1","no","no",8,0,0,0,"ft",0.772829121029561,0.868340632995645,0.980915011957865,"good","dist","dist","millenn",1,118,1
21,3,"4",22,"2",0,"3","yes","no",5,0,0,0,"ft",0.848270765635744,0.697856351592173,0.911294729770089,"good","dist","pass","millenn",1,156,0
22,3,"4",30,"2",0,"3","no","no",2,0,0,0,"ft",0.964854384766724,0.607548835558532,0.640001406175216,"good","pass","pass","millenn",1,156,0
23,1,"1",30,"2",0,"1","no","no",0,0,0,0,"ft",0.885202104585037,0.504168607463211,0.527387973207743,"good","pass","pass","millenn",1,13,1
24,4,"1",28,"2",3,"1","yes","yes",2,0,0,0,"pt",0.975069750945134,0.526086965168139,0.719767000900478,"good","pass","pass","millenn",1,156,0
25,4,"3",39,"2",0,"1","no","no",3,0,0,0,"ft",0.79169053022325,0.608676618444243,0.433695813599226,"good","fail","pass","geny",1,156,0
26,3,"5",28,"1",0,"1","no","no",3,1,0,0,"ft",0.98247439786922,0.577597144679038,0.344646572933495,"good","fail","pass","millenn",1,42,1
27,4,"1",25,"2",1,"1","no","no",0,0,0,0,"pt",0.792110718927311,0.41244283959663,0.267262405230694,"good","fail","fail","millenn",1,118,1
28,3,"1",21,"2",0,"1","no","no",0,0,0,0,"ft",0.871492024743177,0.412019734573433,0.360347187819552,"good","fail","fail","millenn",1,156,0
29,2,"1",22,"2",3,"1","no","no",6,0,0,0,"pt",0.936136679124995,0.797460304280495,0.859893265649414,"good","dist","dist","millenn",1,131,1
30,3,"1",42,"2",2,"3","yes","no",4,0,0,0,"ft",0.995548393634664,0.682649938523504,0.801283924817628,"good","dist","pass","geny",1,156,0
31,4,"4",20,"1",0,"1","no","no",4,0,0,0,"ft",0.795230485941784,0.649282754864643,0.700381323895005,"good","pass","pass","genz",1,156,0
32,2,"2",25,"1",3,"1","no","no",6,0,0,0,"pt",0.987593251123359,0.777558310895854,0.92258741183559,"good","dist","dist","millenn",1,156,0
33,2,"1",28,"1",2,"3","yes","no",5,0,0,0,"ft",0.86380722608687,0.80099138165518,0.706899513079457,"good","pass","dist","millenn",1,156,0
34,4,"1",26,"2",2,"1","no","no",6,0,0,0,"pt",0.631373332535819,0.773264986445181,0.930095762373785,"ok","dist","dist","millenn",1,156,0
35,3,"1",30,"2",0,"1","no","no",0,0,0,1,"ft",0.98893195133729,0.330975243342593,0.583085702620757,"good","pass","fail","millenn",1,156,0
36,3,"1",33,"2",2,"1","no","no",0,0,0,0,"ft",0.924164644369555,0.561109971438563,0.90728240626164,"good","dist","pass","millenn",1,156,0
37,5,"5",22,"2",2,"3","no","no",3,0,0,0,"ft",0.882658107256224,0.610437932458662,0.81478967717729,"good","dist","pass","millenn",1,156,0
38,1,"1",19,"2",2,"1","no","no",5,0,0,0,"ft",0.911314883921275,0.817861948646925,0.955377906806732,"good","dist","dist","genz",1,156,0
39,4,"2",24,"1",0,"3","no","no",7,0,0,0,"ft",0.808428297755125,0.813070265490451,0.805705279251609,"good","dist","dist","millenn",1,156,0
40,2,"2",26,"1",2,"3","yes","no",7,0,0,0,"ft",0.907730522695184,0.806776354807576,0.477500956631715,"good","fail","dist","millenn",1,156,0
41,4,"1",32,"2",0,"1","no","no",5,0,0,0,"pt",0.710877298590628,0.679721678431108,0.83573667716738,"ok","dist","pass","millenn",1,156,0
42,3,"5",31,"2",2,"3","yes","no",5,0,0,0,"ft",0.913494190581338,0.683332358894556,0.686339317323685,"good","pass","pass","millenn",1,156,0
43,1,"2",36,"2",0,"3","no","no",7,0,0,0,"ft",0.995131693055312,0.782251005845512,0.826303242695161,"good","dist","dist","geny",1,156,0
44,4,"2",48,"1",0,"1","no","no",5,0,0,0,"pt",0.956596170227351,0.536275099689652,0.659154947529516,"good","pass","pass","geny",1,61,1
45,2,"1",20,"1",0,"1","no","no",4,0,0,0,"pt",0.583074149044162,0.555124347904812,0.457664235313598,"ok","fail","pass","genz",1,96,1
46,3,"3",31,"3",2,"3","yes","no",0,0,0,0,"ft",0.82458591599019,0.461091195632759,0.648424217866794,"good","pass","fail","millenn",1,156,0
47,2,"1",23,"1",2,"1","no","no",0,0,0,0,"ft",0.946895779763043,0.58256685391625,0.581723760530291,"good","pass","pass","millenn",1,40,1
48,2,"1",29,"2",0,"1","no","no",7,0,0,0,"ft",0.918485102526496,0.725614596333764,0.950619010716947,"good","dist","pass","millenn",1,156,0
